total_cloud_cover_sfc,shortwave_radiation_backwards_sfc,angle_of_incidence,zenith,generated_power_kw
0.0,0.0,58.753108,83.237322,454.10095
0.0,1.78,45.408585,75.143041,1411.9994
0.0,108.58,32.848282,68.820648,2214.8493
0.0,258.1,22.699288,64.883536,2527.6092
0.0,375.58,19.199908,63.795208,2640.2034
0.0,449.45,25.088167,65.70086,2546.0816
0.0,469.92,36.197514,70.351498,2270.3207
0.0,436.99,49.073008,77.228779,1063.8302
0.0,353.33,62.37114,85.585411,86.817611
0.0,228.73,105.86656,121.46318,9.6666667
0.9,0.0,58.845824,83.242237,513.90842
1.8,2.67,45.485379,75.128751,1076.7197
0.0,113.92,32.896851,68.783811,1018.7148
0.0,255.43,22.691118,64.819803,2307.0852
0.9,380.03,19.107739,63.706944,2261.3353
100.0,400.5,24.953054,65.591365,1706.41
100.0,415.63,36.063181,70.227766,1385.8102
100.0,387.15,48.947246,77.097036,547.77553
100.0,333.75,62.1479,85.381751,61.566961
0.0,0.0,58.9765,83.267328,419.20845
38.0,2.67,45.55898,75.107523,1371.9036
62.0,111.25,32.941458,68.737737,2154.5695
49.0,256.32,22.67679,64.748514,2456.0311
29.0,369.35,19.004469,63.610054,2536.1985
5.1,441.44,24.813234,65.474867,2462.3889
2.1,461.02,35.926593,70.097733,2202.6894
5.1,430.76,48.820772,76.959788,1046.8986
2.4,352.44,62.14581,85.32007,88.940216
0.0,0.0,59.024684,83.232999,418.46229
0.0,1.78,45.734575,75.136798,1300.4193
0.0,104.13,32.981515,68.685423,2143.0744
0.0,250.09,22.656758,64.669873,2436.7275
0.0,366.68,18.896941,63.506526,2534.3489
0.0,435.21,24.669091,65.351595,2477.8934
0.0,455.68,35.787961,69.961609,2206.8945
0.0,425.42,48.693732,76.817213,1040.8729
0.0,345.32,62.033585,85.180199,93.423875
0.0,0.0,59.11072,83.218833,425.30454
0.0,1.78,45.676492,75.034084,1355.1012
0.0,106.8,33.017211,68.62586,2122.2185
0.0,255.43,22.630859,64.583818,2430.8578
0.0,372.91,18.782814,63.395723,2549.7753
0.0,440.55,24.520556,65.22152,2505.5434
0.0,462.8,35.647353,69.819392,2236.1667
0.0,431.65,48.566224,76.669341,1079.7043
0.0,350.66,61.921788,85.035625,97.017519
0.0,0.0,59.194427,83.19827,445.47816
4.0,1.78,45.760553,75.002668,1411.1547
44.0,113.92,33.020593,68.547439,2212.9796
15.0,264.33,22.599143,64.49038,2522.2383
39.0,378.25,18.662127,63.277688,2625.5014
0.0,447.67,24.367718,65.0847,2577.2011
0.0,469.03,35.504891,69.671158,2283.7003
0.0,436.99,48.438368,76.516256,1086.2028
0.0,356.0,61.810516,84.886424,103.20437
0.0,0.0,59.16669,83.099158,455.91293
0.0,1.78,45.82124,74.953937,1417.3211
0.0,107.69,32.972619,68.437019,2224.3277
0.0,255.43,22.528242,64.378984,2549.8831
0.0,373.8,18.53492,63.15247,2637.6611
0.0,449.45,24.210671,64.941199,2567.6217
